date cases
2021-07-05 53
2021-07-06 72
2021-07-07 50
2021-07-08 103
2021-07-09 93
2021-07-10 48
2021-07-11 40
2021-07-12 70
2021-07-13 72
2021-07-14 82
2021-07-15 96
2021-07-16 81
2021-07-17 55
2021-07-18 48
2021-07-19 87
2021-07-20 89
2021-07-21 74
2021-07-22 97
2021-07-23 88
2021-07-24 50
2021-07-25 48
2021-07-26 111
2021-07-27 100
2021-07-28 101
2021-07-29 82
2021-07-30 98
2021-07-31 59
2021-08-01 40
2021-08-02 75
2021-08-03 80
2021-08-04 109
2021-08-05 79
2021-08-06 87
2021-08-07 47
2021-08-08 27
2021-08-09 59
2021-08-10 100
2021-08-11 90
2021-08-12 87
2021-08-13 75
2021-08-14 49
2021-08-15 34
2021-08-16 76
2021-08-17 92
2021-08-18 102
2021-08-19 112
2021-08-20 73
2021-08-21 40
2021-08-22 38
2021-08-23 71
2021-08-24 92
2021-08-25 118
2021-08-26 106
2021-08-27 139
2021-08-28 46
2021-08-29 36
2021-08-30 92
2021-08-31 65
2021-09-01 83
2021-09-02 96
2021-09-03 84
2021-09-04 44
2021-09-05 32
2021-09-06 31
2021-09-07 34
2021-09-08 125
2021-09-09 68
2021-09-10 79
2021-09-11 37
2021-09-12 53
2021-09-13 112
2021-09-14 92
2021-09-15 74
2021-09-16 42
2021-09-17 105
2021-09-18 58
2021-09-19 34
2021-09-20 75
2021-09-21 89
2021-09-22 90
2021-09-23 91
2021-09-24 95
2021-09-25 43
2021-09-26 50
2021-09-27 94
2021-09-28 55
2021-09-29 110
2021-09-30 98
2021-10-01 100
2021-10-02 51
2021-10-03 35
2021-10-04 112
2021-10-05 100
2021-10-06 78
2021-10-07 113
2021-10-08 88
2021-10-09 61
2021-10-10 54
2021-10-11 110
2021-10-12 102
2021-10-13 103
2021-10-14 89
2021-10-15 91
2021-10-16 38
2021-10-17 41
2021-10-18 112
2021-10-19 86
2021-10-20 81
2021-10-21 105
2021-10-22 74
2021-10-23 61
2021-10-24 33
2021-10-25 111
2021-10-26 71
2021-10-27 101
2021-10-28 78
2021-10-29 76
2021-10-30 54
2021-10-31 55
2021-11-01 74
2021-11-02 58
2021-11-03 72
2021-11-04 76
2021-11-05 78
2021-11-06 45
2021-11-07 44
2021-11-08 80
2021-11-09 86
